"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Sex"	"Sex Code"	"Region"	"Region Code"	"Age Group"	"Age Group Code"	"Ethnicity"	"Ethnicity Code"	Count
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"15-19 years"	"15-19"	"Non-Hispanic"	"2186-5"	47
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"20-24 years"	"20-24"	"Hispanic"	"2135-2"	77
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"20-24 years"	"20-24"	"Non-Hispanic"	"2186-5"	282
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"Hispanic"	"2135-2"	324
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"25-29 years"	"25-29"	"Non-Hispanic"	"2186-5"	1920
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"Hispanic"	"2135-2"	853
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"30-34 years"	"30-34"	"Non-Hispanic"	"2186-5"	6591
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"35-39 years"	"35-39"	"Hispanic"	"2135-2"	1858
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"35-39 years"	"35-39"	"Non-Hispanic"	"2186-5"	16600
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"40-44 years"	"40-44"	"Hispanic"	"2135-2"	3274
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"40-44 years"	"40-44"	"Non-Hispanic"	"2186-5"	36036
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"45-49 years"	"45-49"	"Hispanic"	"2135-2"	4307
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"45-49 years"	"45-49"	"Non-Hispanic"	"2186-5"	56657
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"50-54 years"	"50-54"	"Hispanic"	"2135-2"	4238
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"50-54 years"	"50-54"	"Non-Hispanic"	"2186-5"	62592
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"55-59 years"	"55-59"	"Hispanic"	"2135-2"	4096
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"55-59 years"	"55-59"	"Non-Hispanic"	"2186-5"	64284
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"60-64 years "	"60-64"	"Hispanic"	"2135-2"	3746
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"60-64 years "	"60-64"	"Non-Hispanic"	"2186-5"	65710
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"65-69 years"	"65-69"	"Hispanic"	"2135-2"	3224
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"65-69 years"	"65-69"	"Non-Hispanic"	"2186-5"	61377
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"70-74 years"	"70-74"	"Hispanic"	"2135-2"	2504
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"70-74 years"	"70-74"	"Non-Hispanic"	"2186-5"	58086
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"75-79 years"	"75-79"	"Hispanic"	"2135-2"	2012
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"75-79 years"	"75-79"	"Non-Hispanic"	"2186-5"	55233
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"80-84 years"	"80-84"	"Hispanic"	"2135-2"	1229
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"80-84 years"	"80-84"	"Non-Hispanic"	"2186-5"	44217
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"85+ years"	"85+"	"Hispanic"	"2135-2"	957
	"Breast"	"26000"	"Female"	"F"	"Northeast"	"CENS-R1"	"85+ years"	"85+"	"Non-Hispanic"	"2186-5"	38428
	"Breast"	"26000"	"Female"	"F"	"Midwest"	"CENS-R2"	"15-19 years"	"15-19"	"Non-Hispanic"	"2186-5"	40
	"Breast"	"26000"	"Female"	"F"	"Midwest"	"CENS-R2"	"20-24 years"	"20-24"	"Hispanic"	"2135-2"	28
	"Breast"	"26000"	"Female"	"F"	"Midwest"	"CENS-R2"	"20-24 years"	"20-24"	"Non-Hispanic"	"2186-5"	442
	"Breast"	"26000"	"Female"	"F"	"Midwest"	"CENS-R2"	"25-29 years"	"25-29"	"Hispanic"	"2135-2"	159
	"Breast"	"26000"	"Female"	"F"	"Midwest"	"CENS-R2"	"25-29 years"	"25-29"	"Non-Hispanic"	"2186-5"	2422
	"Breast"	"26000"	"Female"	"F"	"Midwest"	"CENS-R2"	"30-34 years"	"30-34"	"Hispanic"	"2135-2"	461
