Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date,Location
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"1108 ROSS CLARK CIRCLE
DOTHAN, AL 36301
(31.21537937900007, -85.36146587999997)"
010005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,2565938310,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"2505 U S HIGHWAY 431 NORTH
BOAZ, AL 35957
(34.221334555000055, -86.15937514699993)"
010006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,LAUDERDALE,2567688400,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"205 MARENGO STREET
FLORENCE, AL 35631
(34.795039605000056, -87.68507485399994)"
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,COVINGTON,3344933541,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"702 N MAIN ST
OPP, AL 36467
(31.292159523000066, -86.25539902199995)"
010008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049,CRENSHAW,3343353374,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"101 HOSPITAL CIRCLE
LUVERNE, AL 36049
(31.693116349000036, -86.26549482999997)"
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,JEFFERSON,2058383122,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"50 MEDICAL PARK EAST DRIVE
BIRMINGHAM, AL 35235
(33.59526551700003, -86.66531866799994)"
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DE KALB,2568453150,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"200 MED CENTER DRIVE
FORT PAYNE, AL 35968
(34.44060759100006, -85.75726760699996)"
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,SHELBY,2056208100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"1000 FIRST STREET NORTH
ALABASTER, AL 35007
(33.25442932200008, -86.81407933399998)"
010018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD,BIRMINGHAM,AL,35233,JEFFERSON,2053258100,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"1720 UNIVERSITY BLVD
BIRMINGHAM, AL 35233
(33.503140150000036, -86.80242858299994)"
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,COLBERT,2563864556,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"1300 SOUTH MONTGOMERY AVENUE
SHEFFIELD, AL 35660
(34.74643089500006, -87.69893502799994)"
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB_1,,4 - Data suppressed by CMS for one or more quarters.,01/01/2013,12/31/2013,"126 HOSPITAL AVE
OZARK, AL 36360
(31.451350713000068, -85.63094293699999)"
